"","x"
"1",0
"2",0.0188679245283019
"3",0.0377358490566038
"4",0.0566037735849056
"5",0.0754716981132075
"6",0.0943396226415094
"7",0.113207547169811
"8",0.132075471698113
"9",0.150943396226415
"10",0.169811320754717
"11",0.188679245283019
"12",0.207547169811321
"13",0.207547169811321
"14",0.226415094339623
"15",0.245283018867924
"16",0.264150943396226
"17",0.283018867924528
"18",0.283018867924528
"19",0.30188679245283
"20",0.320754716981132
"21",0.339622641509434
"22",0.358490566037736
"23",0.358490566037736
"24",0.377358490566038
"25",0.39622641509434
"26",0.415094339622642
"27",0.415094339622642
"28",0.415094339622642
"29",0.433962264150943
"30",0.452830188679245
"31",0.471698113207547
"32",0.471698113207547
"33",0.471698113207547
"34",0.490566037735849
"35",0.490566037735849
"36",0.490566037735849
"37",0.509433962264151
"38",0.509433962264151
"39",0.528301886792453
"40",0.528301886792453
"41",0.528301886792453
"42",0.528301886792453
"43",0.528301886792453
"44",0.528301886792453
"45",0.547169811320755
"46",0.566037735849057
"47",0.584905660377358
"48",0.60377358490566
"49",0.622641509433962
"50",0.641509433962264
"51",0.641509433962264
"52",0.641509433962264
"53",0.660377358490566
"54",0.679245283018868
"55",0.69811320754717
"56",0.69811320754717
"57",0.69811320754717
"58",0.69811320754717
"59",0.716981132075472
"60",0.735849056603774
"61",0.754716981132076
"62",0.773584905660377
"63",0.773584905660377
"64",0.773584905660377
"65",0.773584905660377
"66",0.773584905660377
"67",0.773584905660377
"68",0.792452830188679
"69",0.811320754716981
"70",0.811320754716981
"71",0.811320754716981
"72",0.811320754716981
"73",0.811320754716981
"74",0.811320754716981
"75",0.811320754716981
"76",0.811320754716981
"77",0.811320754716981
"78",0.811320754716981
"79",0.811320754716981
"80",0.811320754716981
"81",0.811320754716981
"82",0.811320754716981
"83",0.811320754716981
"84",0.811320754716981
"85",0.811320754716981
"86",0.830188679245283
"87",0.849056603773585
"88",0.849056603773585
"89",0.849056603773585
"90",0.867924528301887
"91",0.867924528301887
"92",0.886792452830189
"93",0.905660377358491
"94",0.924528301886792
"95",0.924528301886792
"96",0.943396226415094
"97",0.943396226415094
"98",0.943396226415094
"99",0.962264150943396
"100",0.962264150943396
"101",0.981132075471698
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
